,name,state,id,pop_2020
22654,Deer Lake township,North Dakota,e97afe6b,27
22834,Francis township,North Dakota,c20ae110,27
22983,Hart UT,North Dakota,3186c76b,27
23071,Ivanhoe township,North Dakota,7bc0c76f,27
23116,Knox township,North Dakota,3dede518,27
23156,Lawton township,North Dakota,b4c1da09,27
23247,Marboe township,North Dakota,3fe4f16d,27
23291,Menz township,North Dakota,c67afaad,27
23404,North Golden Valley UT,North Dakota,26fd5e15,27
23454,Osago township,North Dakota,f0fd1d20,27
23483,Peace township,North Dakota,60dcf01b,27
23620,Roseland township,North Dakota,861e8460,27
23655,Sarles city,North Dakota,3401504b,27
23671,Sealy township,North Dakota,60c93718,27
23681,Shealy township,North Dakota,cd55d1fc,27
23690,Sheridan township,North Dakota,f77ee35a,27
23750,Spring Valley township,North Dakota,6fc40850,27
23781,Stewart township (Kidder County),North Dakota,4e276d75,27
17049,Annada village,Missouri,07026276,28
17380,Evergreen village,Missouri,f19612d2,28
17416,Fortescue town,Missouri,06a5a77f,28
22460,Braddock city,North Dakota,dc4bf1d8,28
22545,Cedar Creek township,North Dakota,e0b8aa37,28
22562,Cherry Lake township,North Dakota,c855681a,28
22635,Dale township,North Dakota,9487d8c1,28
22854,Gardena city,North Dakota,ffbee692,28
23061,Impark township,North Dakota,7c11c2e3,28
23099,Kent township,North Dakota,49d7b46e,28
23119,Kramer city,North Dakota,9a186ae9,28
23192,Linton township,North Dakota,b864eb70,28
23357,Nebo township,North Dakota,151fd183,28
23481,Paulson township,North Dakota,780cf319,28
23518,Pleasant Prairie township,North Dakota,bb0f5ac7,28
23597,Rock Hill township,North Dakota,2ed185ae,28
23699,Sibley city,North Dakota,cd9c45f9,28
23706,Sinclair township,North Dakota,5d39e91b,28
23749,Spring Lake township,North Dakota,0c62d4ca,28
23829,Thorson township,North Dakota,e989300a,28
23831,Tiffany township,North Dakota,543d9a83,28
23872,Vale township,North Dakota,b702bb9c,28
23877,Valley township (Dickey County),North Dakota,1b8143b2,28
23888,Vernon township (Kidder County),North Dakota,a3ba26d1,28
23891,Vesta township,North Dakota,9fa889cb,28
23955,West Ontario township,North Dakota,ed28dd3c,28
23996,Wing township,North Dakota,0376c226,28
30179,Central Perkins UT,South Dakota,fcf2e605,28
30328,Elm Springs township,South Dakota,10299022,28
30382,Foster township (Perkins County),South Dakota,b073fcaa,28
30651,Lincoln township (Tripp County),South Dakota,b220e732,28
30690,Marshfield township,South Dakota,18a3a884,28
30829,Park township,South Dakota,a3abf497,28
30901,Raber township,South Dakota,43a7b3d7,28
31047,Star Valley township (Tripp County),South Dakota,70f46d3a,28
31109,Union township (Edmunds County),South Dakota,bfce0999,28
9010,Dunlap city,Kansas,da067acc,29
9390,Indiana township (Graham County),Kansas,9c02488c,29
9451,Keysville township,Kansas,922f3252,29
10101,Salem township (Greenwood County),Kansas,adc6379a,29
10383,Waldo city,Kansas,ccbb0d80,29
15456,Linsell township,Minnesota,eed1fc09,29
15812,North Central Cass UT,Minnesota,fbd3f530,29
18398,Antelope township (Holt County),Nebraska,31fe52b5,29
18431,Bazile Mills village,Nebraska,d8649025,29
18872,Lushton village,Nebraska,a77d3fd2,29
22485,Buckeye township,North Dakota,4a08a9f3,29
22494,Bullion township,North Dakota,5da7745e,29
22580,Clermont township,North Dakota,1d8f36ae,29
22619,Cremerville township,North Dakota,1fd2feab,29
22785,Fairville township,North Dakota,d750348d,29
22899,Goldfield township,North Dakota,16664f9b,29
22903,Gooseneck township,North Dakota,19b85536,29
22985,Harvey township,North Dakota,7cc37510,29
23110,Kinloss township,North Dakota,b791aaf5,29
23222,Luverne city,North Dakota,bebd0fc0,29
23554,Rainy Butte township,North Dakota,6567d562,29
23795,Strehlow township,North Dakota,5bb9486c,29
